//Quantitative values
40	//Makespan
34	//Mission completion time hauler 1
41	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[2 ,10],[6,12]
1,[2 ,9],[6,11]
2,[2 ,8],[7,11]
3,[3 ,8],[7,10]
4,[4 ,8],[7,9]
5,[5 ,8],[7,8]
6,[6 ,8],[7,7]
7,[7 ,8],[7,6]
8,[8 ,8],[7,5]
9,[9 ,8],[8,5]
10,[8 ,8],[9,5]
11,[7 ,8],[10,5]
12,[6 ,8],[9,5]
13,[5 ,8],[8,5]
14,[6 ,8],[7,5]
15,[7 ,8],[7,6]
16,[6 ,8],[7,7]
17,[5 ,8],[7,8]
18,[5 ,9],[7,9]
19,[6 ,9],[7,10]
20,[7 ,9],[7,9]
21,[7 ,10],[7,8]
22,[8 ,10],[7,7]
23,[9 ,10],[7,6]
24,[10 ,10],[7,5]
25,[10 ,11],[8,5]
26,[11 ,11],[9,5]
27,[11 ,10],[10,5]
28,[11 ,9],[9,5]
29,[11 ,8],[8,5]
30,[10 ,8],[7,5]
31,[10 ,7],[7,6]
32,[10 ,6],[7,7]
33,[10 ,5],[7,8]
34,[10 ,5],[7,7]
35,[10 ,5],[7,6]
36,[10 ,5],[7,5]
37,[10 ,5],[8,5]
38,[10 ,5],[9,5]
39,[10 ,5],[10,5]
40,[10 ,5],[10,5]
