//Quantitative values
34	//Makespan
31	//Mission completion time hauler 1
35	//Mission completion time hauler 2
28	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[6 ,7],[4 ,12],[9,6]
1,[7 ,7],[4 ,11],[9,5]
2,[7 ,6],[4 ,10],[8,5]
3,[7 ,5],[4 ,9],[7,5]
4,[7 ,4],[4 ,8],[6,5]
5,[7 ,3],[4 ,7],[5,5]
6,[7 ,2],[4 ,6],[5,6]
7,[7 ,3],[4 ,5],[5,7]
8,[7 ,4],[4 ,4],[5,8]
9,[7 ,5],[5 ,4],[5,7]
10,[7 ,6],[6 ,4],[5,6]
11,[7 ,7],[7 ,4],[5,5]
12,[6 ,7],[8 ,4],[5,4]
13,[6 ,8],[7 ,4],[6,4]
14,[6 ,9],[6 ,4],[7,4]
15,[6 ,8],[5 ,4],[8,4]
16,[6 ,7],[5 ,5],[7,4]
17,[7 ,7],[5 ,6],[6,4]
18,[7 ,6],[5 ,7],[5,4]
19,[7 ,5],[5 ,8],[5,5]
20,[7 ,4],[5 ,7],[5,6]
21,[7 ,3],[5 ,6],[5,7]
22,[7 ,2],[5 ,5],[5,8]
23,[7 ,3],[5 ,4],[5,9]
24,[7 ,4],[6 ,4],[5,10]
25,[7 ,5],[7 ,4],[6,10]
26,[7 ,6],[8 ,4],[7,10]
27,[7 ,7],[7 ,4],[8,10]
28,[6 ,7],[6 ,4],[8,10]
29,[6 ,8],[5 ,4],[8,10]
30,[6 ,9],[5 ,5],[8,10]
31,[6 ,9],[5 ,6],[8,10]
32,[6 ,9],[5 ,7],[8,10]
33,[6 ,9],[5 ,8],[8,10]
34,[6 ,9],[5 ,8],[8,10]
