comment,baseline makespan,your solution makespan,your solution exec. time,initial test,move test,makespan test,obstacle test,hauler test,charging test,mission test
Part1,
0-Easy,
    Mission length=4,
1,31,-1,-1,False,False,False,False,False,False,False
2,31,-1,-1,False,False,False,False,False,False,False
3,14,-1,-1,False,False,False,False,False,False,False
4,38,-1,-1,False,False,False,False,False,False,False
5,49,-1,-1,False,False,False,False,False,False,False
    Mission length=6,
1,43,-1,-1,False,False,False,False,False,False,False
2,42,-1,-1,False,False,False,False,False,False,False
3,55,-1,-1,False,False,False,False,False,False,False
4,61,-1,-1,False,False,False,False,False,False,False
5,41,-1,-1,False,False,False,False,False,False,False
    Mission length=8,
1,80,-1,-1,False,False,False,False,False,False,False
2,52,-1,-1,False,False,False,False,False,False,False
3,63,-1,-1,False,False,False,False,False,False,False
4,64,-1,-1,False,False,False,False,False,False,False
5,59,-1,-1,False,False,False,False,False,False,False
    Mission length=10,
1,107,-1,-1,False,False,False,False,False,False,False
2,122,-1,-1,False,False,False,False,False,False,False
3,89,-1,-1,False,False,False,False,False,False,False
4,96,-1,-1,False,False,False,False,False,False,False
5,48,-1,-1,False,False,False,False,False,False,False
    Mission length=12,
1,83,-1,-1,False,False,False,False,False,False,False
2,96,-1,-1,False,False,False,False,False,False,False
3,86,-1,-1,False,False,False,False,False,False,False
4,104,-1,-1,False,False,False,False,False,False,False
5,102,-1,-1,False,False,False,False,False,False,False
    Mission length=14,
1,131,-1,-1,False,False,False,False,False,False,False
2,125,-1,-1,False,False,False,False,False,False,False
3,104,-1,-1,False,False,False,False,False,False,False
4,140,-1,-1,False,False,False,False,False,False,False
5,107,-1,-1,False,False,False,False,False,False,False
1-Medium,
    Mission length=4,
1,40,-1,-1,False,False,False,False,False,False,False
2,22,-1,-1,False,False,False,False,False,False,False
3,51,-1,-1,False,False,False,False,False,False,False
4,30,-1,-1,False,False,False,False,False,False,False
5,36,-1,-1,False,False,False,False,False,False,False
    Mission length=6,
1,45,-1,-1,False,False,False,False,False,False,False
2,32,-1,-1,False,False,False,False,False,False,False
3,43,-1,-1,False,False,False,False,False,False,False
4,35,-1,-1,False,False,False,False,False,False,False
5,86,-1,-1,False,False,False,False,False,False,False
    Mission length=8,
1,73,-1,-1,False,False,False,False,False,False,False
2,55,-1,-1,False,False,False,False,False,False,False
3,69,-1,-1,False,False,False,False,False,False,False
4,75,-1,-1,False,False,False,False,False,False,False
5,54,-1,-1,False,False,False,False,False,False,False
    Mission length=10,
1,83,-1,-1,False,False,False,False,False,False,False
2,79,-1,-1,False,False,False,False,False,False,False
3,91,-1,-1,False,False,False,False,False,False,False
4,92,-1,-1,False,False,False,False,False,False,False
5,91,-1,-1,False,False,False,False,False,False,False
    Mission length=12,
1,136,-1,-1,False,False,False,False,False,False,False
2,106,-1,-1,False,False,False,False,False,False,False
3,89,-1,-1,False,False,False,False,False,False,False
4,112,-1,-1,False,False,False,False,False,False,False
5,102,-1,-1,False,False,False,False,False,False,False
    Mission length=14,
1,122,-1,-1,False,False,False,False,False,False,False
2,102,-1,-1,False,False,False,False,False,False,False
3,93,-1,-1,False,False,False,False,False,False,False
4,126,-1,-1,False,False,False,False,False,False,False
5,135,-1,-1,False,False,False,False,False,False,False
2-Hard,
    Mission length=4,
1,43,-1,-1,False,False,False,False,False,False,False
2,27,-1,-1,False,False,False,False,False,False,False
3,28,-1,-1,False,False,False,False,False,False,False
4,27,-1,-1,False,False,False,False,False,False,False
5,44,-1,-1,False,False,False,False,False,False,False
    Mission length=6,
1,63,-1,-1,False,False,False,False,False,False,False
2,52,-1,-1,False,False,False,False,False,False,False
3,64,-1,-1,False,False,False,False,False,False,False
4,45,-1,-1,False,False,False,False,False,False,False
5,58,-1,-1,False,False,False,False,False,False,False
    Mission length=8,
1,143,-1,-1,False,False,False,False,False,False,False
2,93,-1,-1,False,False,False,False,False,False,False
3,70,-1,-1,False,False,False,False,False,False,False
4,92,-1,-1,False,False,False,False,False,False,False
5,85,-1,-1,False,False,False,False,False,False,False
    Mission length=10,
1,64,-1,-1,False,False,False,False,False,False,False
2,81,-1,-1,False,False,False,False,False,False,False
3,118,-1,-1,False,False,False,False,False,False,False
4,57,-1,-1,False,False,False,False,False,False,False
5,67,-1,-1,False,False,False,False,False,False,False
    Mission length=12,
1,112,-1,-1,False,False,False,False,False,False,False
2,137,-1,-1,False,False,False,False,False,False,False
3,108,-1,-1,False,False,False,False,False,False,False
4,110,-1,-1,False,False,False,False,False,False,False
5,119,-1,-1,False,False,False,False,False,False,False
    Mission length=14,
1,119,-1,-1,False,False,False,False,False,False,False
2,121,-1,-1,False,False,False,False,False,False,False
3,132,-1,-1,False,False,False,False,False,False,False
4,138,-1,-1,False,False,False,False,False,False,False
5,135,-1,-1,False,False,False,False,False,False,False
Part2,
0-Easy,
    Mission length=8,
1,57,156,2,True,True,True,True,True,True,True
2,102,130,1,True,True,True,True,True,True,True
3,52,197,2,True,True,True,True,True,True,True
4,99,147,2,True,True,True,True,True,True,True
5,75,167,1,True,True,True,True,True,True,True
    Mission length=10,
1,84,219,3,True,True,True,True,True,True,True
2,66,173,2,True,True,True,True,True,True,True
3,33,244,2,True,True,True,True,True,True,True
4,41,242,1,True,True,True,True,True,True,True
5,115,157,1,True,True,True,True,True,True,True
