//Quantitative values
100	//Makespan
92	//Mission completion time hauler 1
99	//Mission completion time hauler 2
100	//Mission completion time hauler 3
2	//Application execution time (in millisecond)
//Path to the final points
0,[12,2],[11,10],[9,1]
1,[11,2],[10,10],[8,1]
2,[10,2],[10,9],[8,2]
3,[9,2],[10,8],[8,3]
4,[8,2],[9,8],[8,4]
5,[7,2],[8,8],[8,5]
6,[6,2],[8,9],[8,6]
7,[5,2],[8,8],[8,7]
8,[4,2],[8,7],[8,8]
9,[3,2],[8,6],[8,9]
10,[3,3],[8,5],[7,9]
11,[2,3],[8,4],[6,9]
12,[2,4],[8,3],[5,9]
13,[2,5],[8,2],[4,9]
14,[1,5],[9,2],[3,9]
15,[1,6],[8,2],[2,9]
16,[1,7],[7,2],[1,9]
17,[1,8],[6,2],[1,10]
18,[1,9],[6,3],[1,11]
19,[1,10],[6,4],[1,11]
20,[1,11],[5,4],[1,10]
21,[1,10],[5,5],[1,9]
22,[1,9],[5,6],[2,9]
23,[2,9],[5,7],[3,9]
24,[3,9],[4,7],[4,9]
25,[4,9],[3,7],[5,9]
26,[5,9],[3,8],[6,9]
27,[6,9],[3,9],[7,9]
28,[7,9],[2,9],[8,9]
29,[8,9],[1,9],[8,8]
30,[7,9],[1,10],[8,7]
31,[6,9],[1,11],[8,6]
32,[5,9],[1,10],[8,5]
33,[4,9],[1,9],[8,4]
34,[3,9],[2,9],[8,3]
35,[2,9],[3,9],[8,2]
36,[1,9],[4,9],[9,2]
37,[1,10],[5,9],[8,2]
38,[1,11],[6,9],[8,3]
39,[1,10],[7,9],[8,4]
40,[1,9],[8,9],[8,5]
41,[2,9],[8,8],[8,6]
42,[3,9],[8,7],[8,6]
43,[4,9],[8,6],[8,7]
44,[5,9],[8,5],[8,8]
45,[6,9],[8,4],[8,9]
46,[7,9],[8,3],[8,9]
47,[8,9],[8,2],[7,9]
48,[7,9],[9,2],[6,9]
49,[6,9],[8,2],[5,9]
50,[5,9],[7,2],[4,9]
51,[4,9],[6,2],[3,9]
52,[3,9],[5,2],[2,9]
53,[2,9],[4,2],[1,9]
54,[1,9],[3,2],[1,10]
55,[1,10],[3,3],[1,11]
56,[1,11],[2,3],[1,10]
57,[1,10],[2,4],[1,9]
58,[1,9],[2,5],[2,9]
59,[1,8],[1,5],[3,9]
60,[1,7],[1,6],[3,8]
61,[1,6],[1,7],[3,7]
62,[1,5],[1,8],[4,7]
63,[2,5],[1,9],[5,7]
64,[2,4],[1,10],[5,6]
65,[2,3],[1,11],[5,5]
66,[3,3],[1,10],[5,4]
67,[3,2],[1,9],[6,4]
68,[4,2],[1,8],[6,3]
69,[5,2],[1,7],[6,2]
70,[6,2],[1,6],[7,2]
71,[7,2],[1,5],[8,2]
72,[8,2],[2,5],[9,2]
73,[9,2],[2,4],[8,2]
74,[8,2],[2,3],[7,2]
75,[7,2],[3,3],[6,2]
76,[6,2],[3,2],[5,2]
77,[5,2],[4,2],[6,2]
78,[4,2],[5,2],[6,2]
79,[3,2],[6,2],[5,2]
80,[3,3],[7,2],[4,2]
81,[2,3],[8,2],[3,2]
82,[2,4],[9,2],[3,3]
83,[2,5],[8,2],[2,3]
84,[1,5],[7,2],[2,4]
85,[1,6],[6,2],[2,5]
86,[1,7],[6,3],[1,5]
87,[1,8],[6,4],[1,6]
88,[1,9],[5,4],[1,7]
89,[1,10],[5,5],[1,8]
90,[1,11],[5,6],[1,9]
91,[1,10],[5,7],[1,9]
92,[1,9],[4,7],[1,10]
93,[1,9],[3,7],[1,11]
94,[1,9],[3,8],[1,10]
95,[1,9],[3,9],[1,9]
96,[1,9],[2,9],[1,9]
97,[1,9],[1,9],[2,9]
98,[1,9],[1,10],[1,9]
99,[1,9],[1,11],[1,10]
100,[1,9],[1,11],[1,11]
