//Quantitative values
103	//Makespan
102	//Mission completion time hauler 1
2	//Application execution time (in millisecond)
// Position of each hauler for every (discrete) time step
0 ,[1 ,11]
1 ,[1 ,10]
2 ,[1 ,9]
3 ,[1 ,8]
4 ,[1 ,7]
5 ,[1 ,6]
6 ,[1 ,5]
7 ,[1 ,4]
8 ,[1 ,3]
9 ,[1 ,2]
10 ,[1 ,1]
11 ,[2 ,1]
12 ,[3 ,1]
13 ,[4 ,1]
14 ,[5 ,1]
15 ,[5 ,2]
16 ,[6 ,2]
17 ,[7 ,2]
18 ,[8 ,2]
19 ,[9 ,2]
20 ,[10 ,2]
21 ,[11 ,2]
22 ,[12 ,2]
23 ,[12 ,3]
24 ,[12 ,4]
25 ,[11 ,4]
26 ,[10 ,4]
27 ,[11 ,4]
28 ,[12 ,4]
29 ,[12 ,3]
30 ,[12 ,2]
31 ,[11 ,2]
32 ,[10 ,2]
33 ,[11 ,2]
34 ,[12 ,2]
35 ,[12 ,3]
36 ,[12 ,4]
37 ,[11 ,4]
38 ,[12 ,4]
39 ,[12 ,3]
40 ,[12 ,2]
41 ,[11 ,2]
42 ,[10 ,2]
43 ,[9 ,2]
44 ,[8 ,2]
45 ,[7 ,2]
46 ,[6 ,2]
47 ,[5 ,2]
48 ,[5 ,1]
49 ,[5 ,2]
50 ,[6 ,2]
51 ,[7 ,2]
52 ,[8 ,2]
53 ,[9 ,2]
54 ,[10 ,2]
55 ,[11 ,2]
56 ,[12 ,2]
57 ,[12 ,3]
58 ,[12 ,4]
59 ,[11 ,4]
60 ,[10 ,4]
61 ,[11 ,4]
62 ,[12 ,4]
63 ,[12 ,3]
64 ,[12 ,4]
65 ,[11 ,4]
66 ,[12 ,4]
67 ,[12 ,3]
68 ,[12 ,2]
69 ,[11 ,2]
70 ,[10 ,2]
71 ,[9 ,2]
72 ,[8 ,2]
73 ,[7 ,2]
74 ,[6 ,2]
75 ,[5 ,2]
76 ,[5 ,1]
77 ,[5 ,2]
78 ,[6 ,2]
79 ,[7 ,2]
80 ,[8 ,2]
81 ,[9 ,2]
82 ,[10 ,2]
83 ,[11 ,2]
84 ,[12 ,2]
85 ,[12 ,3]
86 ,[12 ,4]
87 ,[11 ,4]
88 ,[10 ,4]
89 ,[11 ,4]
90 ,[12 ,4]
91 ,[12 ,3]
92 ,[12 ,2]
93 ,[11 ,2]
94 ,[10 ,2]
95 ,[9 ,2]
96 ,[8 ,2]
97 ,[8 ,3]
98 ,[8 ,4]
99 ,[8 ,5]
100 ,[8 ,6]
101 ,[8 ,7]
