//Quantitative values
98	//Makespan
99	//Mission completion time hauler 1
95	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[4 ,10],[4,9]
1,[4 ,9],[4,8]
2,[4 ,8],[4,7]
3,[4 ,7],[4,6]
4,[4 ,6],[4,5]
5,[4 ,5],[4,4]
6,[4 ,4],[4,3]
7,[4 ,3],[5,3]
8,[5 ,3],[6,3]
9,[6 ,3],[7,3]
10,[7 ,3],[8,3]
11,[8 ,3],[7,3]
12,[8 ,4],[6,3]
13,[8 ,5],[5,3]
14,[8 ,6],[6,3]
15,[8 ,7],[7,3]
16,[9 ,7],[8,3]
17,[10 ,7],[7,3]
18,[9 ,7],[6,3]
19,[8 ,7],[5,3]
20,[7 ,7],[4,3]
21,[6 ,7],[3,3]
22,[5 ,7],[3,2]
23,[4 ,7],[2,2]
24,[4 ,8],[1,2]
25,[3 ,8],[2,2]
26,[2 ,8],[3,2]
27,[1 ,8],[3,3]
28,[1 ,7],[4,3]
29,[1 ,6],[5,3]
30,[1 ,5],[6,3]
31,[1 ,4],[7,3]
32,[1 ,3],[8,3]
33,[1 ,2],[7,3]
34,[2 ,2],[6,3]
35,[3 ,2],[5,3]
36,[3 ,3],[4,3]
37,[4 ,3],[3,3]
38,[5 ,3],[3,2]
39,[6 ,3],[2,2]
40,[7 ,3],[1,2]
41,[8 ,3],[2,2]
42,[8 ,4],[3,2]
43,[8 ,5],[3,3]
44,[8 ,6],[4,3]
45,[8 ,7],[5,3]
46,[9 ,7],[6,3]
47,[10 ,7],[7,3]
48,[9 ,7],[8,3]
49,[8 ,7],[8,4]
50,[7 ,7],[8,5]
51,[6 ,7],[8,6]
52,[5 ,7],[8,7]
53,[4 ,7],[9,7]
54,[4 ,8],[10,7]
55,[4 ,7],[9,7]
56,[5 ,7],[8,7]
57,[6 ,7],[8,6]
58,[7 ,7],[8,5]
59,[8 ,7],[8,4]
60,[9 ,7],[8,3]
61,[10 ,7],[8,4]
62,[9 ,7],[8,5]
63,[8 ,7],[8,6]
64,[7 ,7],[8,7]
65,[6 ,7],[9,7]
66,[5 ,7],[10,7]
67,[4 ,7],[9,7]
68,[4 ,8],[8,7]
69,[4 ,7],[8,6]
70,[4 ,6],[8,5]
71,[4 ,5],[8,4]
72,[4 ,4],[8,3]
73,[4 ,3],[8,4]
74,[5 ,3],[8,5]
75,[4 ,3],[8,6]
76,[4 ,4],[8,7]
77,[4 ,5],[9,7]
78,[4 ,6],[10,7]
79,[4 ,7],[9,7]
80,[4 ,8],[8,7]
81,[3 ,8],[7,7]
82,[2 ,8],[6,7]
83,[1 ,8],[5,7]
84,[1 ,7],[4,7]
85,[1 ,6],[4,8]
86,[1 ,5],[3,8]
87,[1 ,4],[2,8]
88,[1 ,3],[1,8]
89,[1 ,2],[1,7]
90,[1 ,3],[1,6]
91,[1 ,4],[1,5]
92,[1 ,5],[1,4]
93,[1 ,6],[1,3]
94,[1 ,7],[1,2]
95,[1 ,8],[1,2]
96,[2 ,8],[1,2]
97,[3 ,8],[1,2]
98,[4 ,8],[1,2]
