//Quantitative values
30	//Makespan
30	//Mission completion time hauler 1
20	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[9 ,7],[9,10]
1,[9 ,6],[8,10]
2,[9 ,5],[7,10]
3,[9 ,4],[7,9]
4,[9 ,3],[6,9]
5,[10 ,3],[5,9]
6,[9 ,3],[4,9]
7,[9 ,4],[3,9]
8,[9 ,5],[2,9]
9,[8 ,5],[2,8]
10,[7 ,5],[2,7]
11,[7 ,6],[2,6]
12,[7 ,7],[2,5]
13,[7 ,8],[2,4]
14,[7 ,9],[2,3]
15,[6 ,9],[3,3]
16,[5 ,9],[3,4]
17,[5 ,10],[3,5]
18,[5 ,11],[4,5]
19,[5 ,12],[4,6]
20,[4 ,12],[4,7]
21,[4 ,11],[4,7]
22,[4 ,10],[4,7]
23,[4 ,9],[4,7]
24,[4 ,8],[4,7]
25,[4 ,7],[4,7]
26,[4 ,6],[4,7]
27,[4 ,5],[4,7]
28,[3 ,5],[4,7]
29,[3 ,4],[4,7]
30,[3 ,3],[4,7]
