//Quantitative values
133	//Makespan
100	//Mission completion time hauler 1
133	//Mission completion time hauler 2
107	//Mission completion time hauler 3
6	//Application execution time (in millisecond)
//Path to the final points
0,[2 ,11],[12 ,9],[9,1]
1,[2 ,10],[11 ,9],[8,1]
2,[2 ,9],[10 ,9],[7,1]
3,[2 ,8],[9 ,9],[6,1]
4,[2 ,7],[8 ,9],[5,1]
5,[2 ,6],[7 ,9],[4,1]
6,[2 ,5],[6 ,9],[3,1]
7,[2 ,4],[6 ,10],[3,2]
8,[3 ,4],[5 ,10],[3,3]
9,[3 ,5],[4 ,10],[3,4]
10,[3 ,6],[4 ,9],[3,5]
11,[3 ,7],[3 ,9],[3,6]
12,[3 ,8],[2 ,9],[3,7]
13,[3 ,7],[1 ,9],[3,8]
14,[3 ,6],[1 ,10],[3,9]
15,[3 ,5],[2 ,10],[4,9]
16,[3 ,4],[2 ,11],[4,10]
17,[3 ,5],[3 ,11],[4,11]
18,[3 ,6],[4 ,11],[5,11]
19,[3 ,7],[5 ,11],[6,11]
20,[3 ,8],[6 ,11],[7,11]
21,[3 ,9],[7 ,11],[8,11]
22,[4 ,9],[8 ,11],[9,11]
23,[4 ,10],[9 ,11],[10,11]
24,[4 ,11],[10 ,11],[9,11]
25,[4 ,12],[9 ,11],[8,11]
26,[5 ,12],[8 ,11],[7,11]
27,[4 ,12],[7 ,11],[6,11]
28,[4 ,11],[6 ,11],[5,11]
29,[4 ,10],[5 ,11],[5,12]
30,[4 ,9],[5 ,12],[5,11]
31,[3 ,9],[5 ,11],[6,11]
32,[3 ,8],[6 ,11],[7,11]
33,[3 ,7],[7 ,11],[8,11]
34,[3 ,6],[8 ,11],[9,11]
35,[3 ,5],[9 ,11],[10,11]
36,[3 ,4],[10 ,11],[9,11]
37,[2 ,4],[9 ,11],[8,11]
38,[2 ,5],[8 ,11],[7,11]
39,[2 ,6],[7 ,11],[6,11]
40,[1 ,6],[6 ,11],[5,11]
41,[1 ,7],[5 ,11],[5,12]
42,[1 ,8],[4 ,11],[5,11]
43,[1 ,9],[4 ,10],[6,11]
44,[1 ,10],[4 ,9],[7,11]
45,[1 ,9],[3 ,9],[8,11]
46,[1 ,8],[3 ,8],[9,11]
47,[1 ,7],[3 ,9],[10,11]
48,[1 ,6],[4 ,9],[9,11]
49,[2 ,6],[4 ,10],[8,11]
50,[2 ,5],[4 ,11],[7,11]
51,[2 ,4],[5 ,11],[6,11]
52,[3 ,4],[6 ,11],[5,11]
53,[3 ,5],[7 ,11],[5,12]
54,[3 ,6],[8 ,11],[5,11]
55,[3 ,7],[9 ,11],[6,11]
56,[3 ,8],[10 ,11],[7,11]
57,[3 ,7],[9 ,11],[8,11]
58,[3 ,6],[8 ,11],[9,11]
59,[3 ,5],[7 ,11],[10,11]
60,[3 ,4],[6 ,11],[9,11]
61,[2 ,4],[5 ,11],[8,11]
62,[2 ,5],[4 ,11],[7,11]
63,[2 ,6],[4 ,10],[6,11]
64,[1 ,6],[4 ,9],[5,11]
65,[1 ,7],[3 ,9],[5,12]
