Part1,
0-Easy,
    Mission length=4,
1,31
2,31
3,14
4,38
5,49
    Mission length=6,
1,43
2,42
3,55
4,61
5,41
    Mission length=8,
1,80
2,52
3,63
4,64
5,59
    Mission length=10,
1,107
2,122
3,89
4,96
5,48
    Mission length=12,
1,83
2,96
3,86
4,104
5,102
    Mission length=14,
1,131
2,125
3,104
4,140
5,107
1-Medium,
    Mission length=4,
1,40
2,22
3,51
4,30
5,36
    Mission length=6,
1,45
2,32
3,43
4,35
5,86
    Mission length=8,
1,73
2,55
3,69
4,75
5,54
    Mission length=10,
1,83
2,79
3,91
4,92
5,91
    Mission length=12,
1,136
2,106
3,89
4,112
5,102
    Mission length=14,
1,122
2,102
3,93
4,126
5,135
2-Hard,
    Mission length=4,
1,43
2,27
3,28
4,27
5,44
    Mission length=6,
1,63
2,52
3,64
4,45
5,58
    Mission length=8,
1,143
2,93
3,70
4,92
5,85
    Mission length=10,
1,64
2,81
3,118
4,57
5,67
    Mission length=12,
1,112
2,137
3,108
4,110
5,119
    Mission length=14,
1,119
2,121
3,132
4,138
5,135
Part2,
0-Easy,
    Mission length=8,
1,57
2,102
3,52
4,99
5,75
    Mission length=10,
1,84
2,66
3,33
4,41
5,115
    Mission length=12,
1,115
2,117
3,58
4,92
5,123
    Mission length=14,
1,115
2,170
3,85
4,104
5,143
    Mission length=16,
1,185
2,154
3,113
4,146
5,154
    Mission length=18,
1,163
2,130
3,112
4,220
5,173
1-Medium,
    Mission length=8,
1,68
2,68
3,66
4,72
5,49
    Mission length=10,
1,75
2,41
3,120
4,90
5,82
    Mission length=12,
1,107
2,84
3,116
4,85
5,71
    Mission length=14,
1,133
2,97
3,108
4,85
5,74
    Mission length=16,
1,127
2,119
3,150
4,126
5,92
    Mission length=18,
1,157
2,115
3,172
4,164
5,107
2-Hard,
    Mission length=8,
1,131
2,77
3,116
4,98
5,57
    Mission length=10,
1,109
2,116
3,167
4,92
5,88
    Mission length=12,
1,129
2,184
3,207
4,122
5,81
    Mission length=14,
1,167
2,224
3,255
4,126
5,119
    Mission length=16,
1,211
2,268
3,262
4,158
5,156
    Mission length=18,
1,185
2,259
3,294
4,174
5,141
Part3,
0-Easy,
    Mission length=4,
1,49
2,27
3,34
4,22
5,26
    Mission length=6,
1,84
2,49
3,67
4,47
5,44
    Mission length=8,
1,118
2,51
3,88
4,64
5,46
    Mission length=10,
1,100
2,79
3,102
4,70
5,72
    Mission length=12,
1,132
2,71
3,108
4,106
5,74
    Mission length=14,
1,188
2,89
3,148
4,136
5,98
1-Medium,
    Mission length=4,
1,58
2,35
3,33
4,30
5,27
    Mission length=6,
1,39
2,55
3,63
4,56
5,55
    Mission length=8,
1,75
2,58
3,76
4,67
5,84
    Mission length=10,
1,99
2,71
3,82
4,88
5,72
    Mission length=12,
1,97
2,90
3,117
4,104
5,109
    Mission length=14,
1,145
2,108
3,143
4,144
5,113
2-Hard,
    Mission length=4,
1,50
2,33
3,42
4,34
5,48
    Mission length=6,
1,51
2,44
3,70
4,45
5,61
    Mission length=8,
1,103
2,50
3,86
4,80
5,82
    Mission length=10,
1,90
2,115
3,76
4,84
5,139
    Mission length=12,
1,99
2,128
3,93
4,110
5,169
    Mission length=14,
1,109
2,152
3,156
4,140
5,132
