//Quantitative values
74	//Makespan
74	//Mission completion time hauler 1
67	//Mission completion time hauler 2
2	//Application execution time (in millisecond)
//Path to the final points
0,[4,10],[4,9]
1,[4,9],[4,8]
2,[4,8],[4,7]
3,[4,7],[5,7]
4,[4,6],[6,7]
5,[4,5],[7,7]
6,[4,4],[8,7]
7,[4,3],[9,7]
8,[5,3],[10,7]
9,[6,3],[9,7]
10,[7,3],[8,7]
11,[8,3],[8,6]
12,[7,3],[8,5]
13,[6,3],[8,4]
14,[5,3],[8,3]
15,[6,3],[8,4]
16,[7,3],[8,5]
17,[8,3],[8,6]
18,[7,3],[8,7]
19,[6,3],[9,7]
20,[5,3],[10,7]
21,[4,3],[9,7]
22,[3,3],[8,7]
23,[3,2],[7,7]
24,[2,2],[6,7]
25,[1,2],[5,7]
26,[2,2],[4,7]
27,[3,2],[4,8]
28,[3,3],[4,7]
29,[4,3],[5,7]
30,[5,3],[6,7]
31,[6,3],[7,7]
32,[7,3],[8,7]
33,[8,3],[9,7]
34,[7,3],[10,7]
35,[6,3],[9,7]
36,[5,3],[8,7]
37,[4,3],[7,7]
38,[3,3],[6,7]
39,[3,2],[5,7]
40,[2,2],[4,7]
41,[1,2],[4,8]
42,[2,2],[4,7]
43,[3,2],[5,7]
44,[3,3],[6,7]
45,[4,3],[7,7]
46,[5,3],[8,7]
47,[6,3],[9,7]
48,[7,3],[10,7]
49,[8,3],[9,7]
50,[7,3],[8,7]
51,[6,3],[7,7]
52,[5,3],[6,7]
53,[6,3],[5,7]
54,[7,3],[4,7]
55,[8,3],[4,8]
56,[8,4],[4,7]
57,[8,5],[4,6]
58,[8,6],[4,5]
59,[8,7],[4,4]
60,[9,7],[4,3]
61,[10,7],[5,3]
62,[9,7],[6,3]
63,[8,7],[7,3]
64,[7,7],[8,3]
65,[6,7],[7,3]
66,[5,7],[6,3]
67,[4,7],[5,3]
68,[4,8],[5,3]
69,[4,7],[5,3]
70,[4,6],[5,3]
71,[4,5],[5,3]
72,[4,4],[5,3]
73,[4,3],[5,3]
74,[5,3],[5,3]
