//Quantitative values
27	//Makespan
17	//Mission completion time hauler 1
27	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[4 ,10],[4,9]
1,[4 ,9],[4,8]
2,[4 ,8],[4,7]
3,[4 ,7],[5,7]
4,[4 ,6],[6,7]
5,[4 ,5],[7,7]
6,[4 ,4],[8,7]
7,[4 ,3],[9,7]
8,[5 ,3],[10,7]
9,[6 ,3],[9,7]
10,[7 ,3],[8,7]
11,[8 ,3],[8,6]
12,[8 ,4],[8,5]
13,[8 ,5],[8,4]
14,[8 ,6],[8,3]
15,[8 ,7],[8,4]
16,[9 ,7],[8,5]
17,[10 ,7],[8,6]
18,[10 ,7],[8,7]
19,[10 ,7],[9,7]
20,[10 ,7],[10,7]
21,[10 ,7],[9,7]
22,[10 ,7],[8,7]
23,[10 ,7],[8,6]
24,[10 ,7],[8,5]
25,[10 ,7],[8,4]
26,[10 ,7],[8,3]
27,[10 ,7],[8,3]
