//Quantitative values
108	//Makespan
108	//Mission completion time hauler 1
101	//Mission completion time hauler 2
4	//Application execution time (in millisecond)
//Path to the final points
0,[2 ,10],[8,9]
1,[2 ,9],[7,9]
2,[3 ,9],[6,9]
3,[3 ,8],[5,9]
4,[3 ,7],[4,9]
5,[3 ,6],[3,9]
6,[3 ,5],[3,8]
7,[3 ,4],[3,7]
8,[4 ,4],[3,6]
9,[5 ,4],[3,5]
10,[6 ,4],[3,4]
11,[7 ,4],[4,4]
12,[8 ,4],[5,4]
13,[8 ,3],[6,4]
14,[9 ,3],[7,4]
15,[9 ,4],[8,4]
16,[9 ,5],[8,3]
17,[9 ,6],[9,3]
18,[9 ,7],[8,3]
19,[9 ,8],[8,4]
20,[9 ,9],[7,4]
21,[9 ,8],[6,4]
22,[9 ,7],[5,4]
23,[9 ,6],[4,4]
24,[8 ,6],[3,4]
25,[8 ,5],[4,4]
26,[8 ,4],[5,4]
27,[8 ,3],[6,4]
28,[8 ,2],[7,4]
29,[7 ,2],[6,4]
30,[6 ,2],[6,5]
31,[5 ,2],[6,6]
32,[4 ,2],[6,7]
33,[3 ,2],[6,8]
34,[3 ,3],[6,9]
35,[3 ,4],[6,10]
36,[3 ,3],[6,9]
37,[3 ,2],[6,8]
38,[4 ,2],[6,7]
39,[5 ,2],[6,6]
40,[6 ,2],[6,5]
41,[7 ,2],[6,4]
42,[6 ,2],[7,4]
43,[6 ,3],[7,5]
44,[6 ,4],[7,6]
45,[6 ,5],[7,7]
46,[6 ,6],[7,8]
47,[6 ,7],[7,9]
48,[6 ,8],[8,9]
49,[6 ,9],[9,9]
50,[6 ,8],[8,9]
51,[6 ,7],[7,9]
52,[6 ,6],[7,8]
53,[6 ,5],[7,7]
54,[6 ,4],[7,6]
55,[7 ,4],[7,5]
56,[8 ,4],[7,4]
57,[8 ,3],[6,4]
58,[9 ,3],[5,4]
59,[9 ,4],[4,4]
60,[9 ,5],[3,4]
61,[9 ,6],[4,4]
62,[9 ,7],[5,4]
63,[9 ,8],[6,4]
64,[9 ,9],[7,4]
65,[9 ,8],[6,4]
66,[9 ,7],[6,5]
67,[9 ,6],[6,6]
68,[8 ,6],[6,7]
69,[8 ,5],[6,8]
70,[8 ,4],[6,9]
71,[8 ,3],[6,10]
72,[8 ,2],[6,9]
73,[7 ,2],[6,8]
74,[8 ,2],[6,7]
75,[8 ,3],[6,6]
76,[8 ,4],[6,5]
77,[8 ,5],[6,4]
78,[8 ,6],[7,4]
79,[9 ,6],[8,4]
80,[9 ,7],[8,3]
81,[9 ,8],[9,3]
82,[9 ,9],[8,3]
83,[8 ,9],[8,4]
84,[7 ,9],[7,4]
85,[7 ,8],[6,4]
86,[7 ,7],[6,5]
87,[7 ,6],[6,6]
88,[7 ,5],[6,7]
89,[7 ,4],[6,8]
90,[7 ,5],[6,9]
91,[7 ,6],[6,10]
92,[7 ,7],[6,9]
93,[7 ,8],[6,8]
94,[7 ,9],[6,7]
95,[8 ,9],[6,6]
96,[9 ,9],[6,5]
97,[9 ,8],[6,4]
98,[9 ,7],[7,4]
99,[9 ,6],[8,4]
100,[9 ,5],[8,3]
101,[9 ,4],[9,3]
102,[9 ,3],[9,3]
103,[9 ,4],[9,3]
104,[9 ,5],[9,3]
105,[9 ,6],[9,3]
106,[9 ,7],[9,3]
107,[9 ,8],[9,3]
108,[9 ,9],[9,3]
