//Quantitative values
88	//Makespan
75	//Mission completion time hauler 1
63	//Mission completion time hauler 2
88	//Mission completion time hauler 3
2	//Application execution time (in millisecond)
//Path to the final points
0,[12,9],[6,9],[11,5]
1,[11,9],[5,9],[11,6]
2,[10,9],[4,9],[10,6]
3,[9,9],[3,9],[9,6]
4,[8,9],[3,8],[8,6]
5,[7,9],[3,7],[7,6]
6,[6,9],[3,6],[6,6]
7,[5,9],[3,5],[5,6]
8,[4,9],[3,4],[5,7]
9,[3,9],[2,4],[5,8]
10,[3,8],[2,3],[5,9]
11,[4,8],[2,4],[5,10]
12,[5,8],[3,4],[5,11]
13,[6,8],[3,5],[5,12]
14,[7,8],[3,6],[5,11]
15,[8,8],[3,7],[5,10]
16,[7,8],[3,8],[5,9]
17,[6,8],[2,8],[5,8]
18,[5,8],[1,8],[6,8]
19,[5,9],[1,7],[7,8]
20,[5,10],[1,6],[8,8]
21,[5,11],[1,5],[7,8]
22,[5,12],[1,6],[6,8]
23,[5,11],[1,7],[5,8]
24,[5,10],[1,8],[4,8]
25,[5,9],[2,8],[3,8]
26,[4,9],[3,8],[4,8]
27,[3,9],[2,8],[5,8]
28,[3,8],[1,8],[6,8]
29,[3,7],[1,7],[7,8]
30,[3,6],[1,6],[8,8]
31,[3,5],[1,5],[7,8]
32,[3,4],[1,6],[6,8]
33,[2,4],[1,7],[5,8]
34,[2,3],[1,8],[5,9]
35,[2,4],[2,8],[5,10]
36,[3,4],[3,8],[5,11]
37,[3,5],[2,8],[5,12]
38,[3,6],[1,8],[4,12]
39,[3,7],[1,7],[3,12]
40,[3,8],[1,6],[2,12]
41,[2,8],[1,5],[1,12]
42,[1,8],[1,6],[1,11]
43,[1,7],[1,6],[1,10]
44,[1,6],[1,7],[1,9]
45,[1,5],[1,8],[1,9]
46,[1,6],[2,8],[1,8]
47,[1,7],[3,8],[1,8]
48,[1,8],[2,8],[1,7]
49,[2,8],[1,8],[1,6]
50,[3,8],[1,7],[1,5]
51,[3,7],[1,6],[1,5]
52,[3,6],[1,5],[1,6]
53,[3,5],[1,6],[1,7]
54,[3,4],[1,7],[1,8]
55,[2,4],[1,8],[1,9]
56,[2,3],[1,9],[1,10]
57,[2,4],[1,10],[1,11]
58,[3,4],[1,11],[1,12]
59,[3,5],[1,12],[2,12]
60,[3,6],[2,12],[3,12]
61,[3,7],[3,12],[4,12]
62,[3,8],[4,12],[5,12]
63,[3,9],[5,12],[5,11]
64,[4,9],[5,12],[5,10]
65,[5,9],[5,12],[5,10]
66,[5,10],[5,12],[5,9]
67,[5,11],[5,12],[5,8]
68,[5,12],[5,12],[6,8]
69,[5,11],[5,12],[7,8]
70,[5,10],[5,12],[8,8]
71,[5,9],[5,12],[7,8]
72,[5,8],[5,12],[6,8]
73,[6,8],[5,12],[5,8]
74,[7,8],[5,12],[5,9]
75,[8,8],[5,12],[5,10]
76,[8,8],[5,12],[5,11]
77,[8,8],[5,12],[5,12]
78,[8,8],[5,12],[4,12]
79,[8,8],[5,12],[3,12]
80,[8,8],[5,12],[2,12]
81,[8,8],[5,12],[1,12]
82,[8,8],[5,12],[1,11]
83,[8,8],[5,12],[1,10]
84,[8,8],[5,12],[1,9]
85,[8,8],[5,12],[1,8]
86,[8,8],[5,12],[1,7]
87,[8,8],[5,12],[1,6]
88,[8,8],[5,12],[1,5]
