//Quantitative values
86	//Makespan
86	//Mission completion time hauler 1
83	//Mission completion time hauler 2
73	//Mission completion time hauler 3
3	//Application execution time (in millisecond)
//Path to the final points
0,[10 ,1],[6 ,2],[12,1]
1,[10 ,2],[7 ,2],[11,1]
2,[9 ,2],[8 ,2],[10,1]
3,[8 ,2],[9 ,2],[10,2]
4,[7 ,2],[8 ,2],[9,2]
5,[6 ,2],[8 ,3],[8,2]
6,[5 ,2],[8 ,4],[7,2]
7,[4 ,2],[8 ,5],[6,2]
8,[4 ,3],[8 ,6],[5,2]
9,[4 ,4],[8 ,7],[4,2]
10,[4 ,5],[8 ,8],[3,2]
11,[4 ,6],[9 ,8],[3,3]
12,[4 ,7],[9 ,9],[3,4]
13,[4 ,8],[9 ,10],[3,5]
14,[4 ,9],[9 ,11],[3,6]
15,[3 ,9],[10 ,11],[3,7]
16,[3 ,10],[9 ,11],[2,7]
17,[3 ,11],[8 ,11],[2,8]
18,[2 ,11],[8 ,10],[1,8]
19,[1 ,11],[7 ,10],[1,9]
20,[1 ,10],[6 ,10],[1,10]
21,[1 ,9],[5 ,10],[1,11]
22,[1 ,8],[4 ,10],[2,11]
23,[2 ,8],[3 ,10],[3,11]
24,[1 ,8],[3 ,9],[3,10]
25,[1 ,9],[2 ,9],[3,9]
26,[1 ,10],[2 ,8],[4,9]
27,[1 ,11],[2 ,7],[4,8]
28,[2 ,11],[3 ,7],[4,7]
29,[3 ,11],[4 ,7],[4,6]
30,[3 ,10],[5 ,7],[4,5]
31,[3 ,9],[5 ,6],[4,4]
32,[4 ,9],[5 ,5],[4,3]
33,[4 ,8],[5 ,4],[4,2]
34,[4 ,7],[5 ,3],[5,2]
35,[4 ,6],[5 ,2],[6,2]
36,[4 ,5],[6 ,2],[7,2]
37,[4 ,4],[7 ,2],[8,2]
38,[4 ,3],[8 ,2],[9,2]
39,[4 ,2],[9 ,2],[8,2]
40,[5 ,2],[8 ,2],[7,2]
41,[6 ,2],[7 ,2],[6,2]
42,[7 ,2],[6 ,2],[5,2]
43,[8 ,2],[5 ,2],[4,2]
44,[9 ,2],[4 ,2],[4,3]
45,[8 ,2],[4 ,3],[4,4]
46,[7 ,2],[4 ,4],[4,5]
47,[6 ,2],[4 ,5],[4,6]
48,[5 ,2],[4 ,6],[4,7]
49,[4 ,2],[4 ,7],[4,8]
50,[4 ,3],[4 ,8],[4,9]
51,[4 ,4],[4 ,9],[3,9]
52,[4 ,5],[3 ,9],[3,10]
53,[4 ,6],[3 ,10],[3,11]
54,[4 ,7],[3 ,11],[2,11]
55,[4 ,8],[2 ,11],[1,11]
56,[4 ,9],[3 ,11],[1,10]
57,[3 ,9],[3 ,10],[1,9]
58,[3 ,10],[3 ,9],[1,8]
59,[3 ,11],[4 ,9],[2,8]
60,[2 ,11],[4 ,8],[1,8]
61,[1 ,11],[4 ,7],[1,9]
62,[1 ,10],[4 ,6],[1,10]
63,[1 ,9],[4 ,5],[1,11]
64,[1 ,8],[4 ,4],[2,11]
65,[2 ,8],[4 ,3],[1,11]
66,[1 ,8],[4 ,2],[1,10]
67,[1 ,9],[5 ,2],[1,9]
68,[1 ,10],[6 ,2],[1,8]
69,[1 ,11],[7 ,2],[2,8]
70,[2 ,11],[8 ,2],[2,7]
71,[3 ,11],[9 ,2],[3,7]
72,[3 ,10],[8 ,2],[4,7]
73,[3 ,9],[8 ,3],[5,7]
74,[4 ,9],[8 ,4],[5,7]
75,[4 ,8],[8 ,5],[5,7]
76,[4 ,7],[8 ,6],[5,7]
77,[4 ,6],[8 ,7],[5,7]
78,[4 ,5],[8 ,8],[5,7]
79,[4 ,4],[9 ,8],[5,7]
80,[4 ,3],[9 ,9],[5,7]
81,[4 ,2],[9 ,10],[5,7]
82,[5 ,2],[9 ,11],[5,7]
83,[6 ,2],[10 ,11],[5,7]
84,[7 ,2],[10 ,11],[5,7]
85,[8 ,2],[10 ,11],[5,7]
86,[9 ,2],[10 ,11],[5,7]
